observationUri,Timeliness,Relevance,Availability,Accuracy
http://dtp-24.sncs.abdn.ac.uk:8093/observation/8391fd0f-aa78-46cf-955e-e79016490d87,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/88835226-31e4-45d6-ae2f-20fdbc2a7606,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/2f9431d8-4153-4416-9ad8-52b3dbf2c790,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/d4413005-6aa7-4750-aa5b-e0b75900c94c,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/79537b63-e5e1-41e8-b8b9-f18825bc8535,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/faf1d1e0-9c86-44d3-a2a8-15f4dd313fe9,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/5e970c91-32e0-4743-bf63-6ed52067db2a,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/b3693f8f-070e-44d9-8b47-b51dc85a4697,
http://dtp-24.sncs.abdn.ac.uk:8093/observation/0dd413c5-bba9-44a7-8a60-2c32a10043a5,
http://dtp-24.sncs.abdn.ac.uk:8093/observation/ca3adb9a-6cb2-4d30-af7a-d2907f7ee777,
http://dtp-24.sncs.abdn.ac.uk:8093/observation/f33d2cbb-79c6-476b-8ea5-9444aac333c9,
http://dtp-24.sncs.abdn.ac.uk:8093/observation/25cac886-1b6a-4145-9538-c90c6993f542,
http://dtp-24.sncs.abdn.ac.uk:8093/observation/95d3d3ef-69ba-495f-9802-1d810e21be77,
http://dtp-24.sncs.abdn.ac.uk:8093/observation/4e6f88d9-8ac2-4f08-9360-56750f7cf17e,
http://dtp-24.sncs.abdn.ac.uk:8093/observation/11e8dfa7-6c2e-4332-96c6-7c9f05c3dc34,
http://dtp-24.sncs.abdn.ac.uk:8093/observation/def9416a-517b-43b6-afb8-ba450ceaa47f,
http://dtp-24.sncs.abdn.ac.uk:8093/observation/c0ed8e2a-fb24-42d7-8b17-9e497046af37,
http://dtp-24.sncs.abdn.ac.uk:8093/observation/90975ab7-9829-4e35-b8ed-43b2c38afba8,
http://dtp-24.sncs.abdn.ac.uk:8093/observation/61b139a0-544a-4e70-8f99-937ab2684959,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/c6ae50f0-7c01-43b8-a3f1-18db0db02dd0,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/05252a16-8a29-4c07-b14f-b987c7362508,0.0,0.07,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/2d03ff56-1137-4b18-93a0-fba56dc83145,0.0,0.48,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/ba5827ea-40c5-45f5-a84e-8020e4f02fa1,0.0,0.75,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/06f36753-14ba-4b40-8f13-faab723d3829,0.0,0.79,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/e7bc7179-4987-4e81-b64e-bc24dd8249a6,0.0,0.71,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/c4266724-7bed-4a35-8908-894fd160aea1,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/493aa237-5fc1-45b9-bb8d-9c35ac3df0d5,0.0,0.10,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/261b2d6f-78fc-4275-8062-06668ab3a01d,0.0,0.41,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/7a9d2b32-e4de-4165-b616-f72da223484f,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/edad711f-32f8-47e6-993f-e3e65b1b7412,0.0,0.79,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/bfe32fc5-b740-4ab2-ab89-b56a8797ef4f,0.0,0.23,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/80719d37-f0ac-4b5c-ba51-1fbb285dc477,0.0,0.15,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/b327812a-bcbc-45de-8d1f-c0afacf87f99,0.0,0.11,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/95184e39-6a22-46df-81a7-c3bbfa579650,0.0,0.45,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/3d9c0c73-09dc-46f6-a197-0fdbfeac562b,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/f7ab9ed0-1da8-4d84-9728-b992a4a59fff,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/d4a97372-f9df-4b15-971e-5f6ea2531eee,0.0,0.50,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/fbf1ed2f-b59c-4d23-ac18-12a2d938aed6,0.0,0.81,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/79b1048e-0301-460a-95af-2883e059040c,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/084fe48b-29b9-46ce-b819-905953ea30fb,0.0,0.80,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/20ed941c-fb14-48ca-af78-7797fd325ce5,0.0,0.67,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/67006ac7-6e80-476d-a827-185ea3c6d18a,0.0,0.85,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/94c3b123-e1ca-4573-b91e-3799e2f450f5,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/71973030-4c09-4c0b-b93e-1e7aeb9b5cd7,0.0,0.82,0.38,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/f503b4d0-bb39-4b96-9155-7b66806456f1,0.0,0.80,0.67,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/bce7aa15-a4f9-4fb3-a709-ebed4cc4127b,0.0,0.81,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/9012e122-b773-4f4c-9152-e61e06b6935c,0.0,0.82,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/14980029-c500-4b4b-9f1f-e5be5987b44b,0.0,0.81,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/9db13b4e-869c-4771-a801-58f02f53e671,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/a7039e67-f116-43f8-bfe9-4749633f9f40,0.0,0.0,0.0,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/09f89093-e082-4f2e-a472-abad2240e5b9,0.0,0.0,0.49,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/d91eb404-b5a3-4773-9783-0ed4b3df30f9,0.0,0.0,0.65,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/3309af5e-7edf-45c0-a6b9-56822ed8328e,0.0,0.20,0.55,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/dd116090-ac35-4819-8814-884af005fb48,0.0,0.0,0.54,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/69b67067-e6d9-4540-8936-a7db29ed4698,0.0,0.0,0.57,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/1e2d1054-c894-4631-b28d-a86781daff21,0.0,0.36,0.51,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/e60b9c68-63ca-430e-9130-bbcef21160b6,0.0,0.0,0.55,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/f556e313-4150-4cf9-9ab8-9b4fa5f59708,0.0,0.0,0.44,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/95ee02a4-fad4-43dc-a2d7-942edd0009a4,0.0,0.80,0.47,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/db589ec5-4a06-44e9-a77b-b55632ec95dd,0.0,0.73,0.48,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/0e0a5110-6e53-467a-95c8-dd91122a0a95,0.0,0.49,0.59,0.0
http://dtp-24.sncs.abdn.ac.uk:8093/observation/777643f1-5734-4ff5-bab5-61954f6b9ca5,0.0,0.81,0.55,0.0
